;Dzien tygodnia;data;nowe przypadki;zgony;ozdrowieńcy;kwarantanna;wojewodztwo;testy
0;wtorek;2020-03-03;0;0.0;0.0;316;cały kraj;
1;środa;2020-03-04;1;0.0;0.0;349;cały kraj;
2;czwartek;2020-03-05;0;0.0;0.0;490;cały kraj;
3;piątek;2020-03-06;4;0.0;0.0;1299;cały kraj;
4;sobota;2020-03-07;1;0.0;0.0;1548;cały kraj;
5;niedziela;2020-03-08;5;0.0;0.0;932;cały kraj;
6;poniedziałek;2020-03-09;6;0.0;0.0;1014;cały kraj;
7;wtorek;2020-03-10;5;0.0;0.0;1055;cały kraj;
8;środa;2020-03-11;9;0.0;0.0;1193;cały kraj;
9;czwartek;2020-03-12;20;1.0;0.0;2736;cały kraj;
10;piątek;2020-03-13;17;1.0;0.0;3151;cały kraj;
11;sobota;2020-03-14;35;1.0;0.0;4413;cały kraj;
12;niedziela;2020-03-15;21;0.0;0.0;7535;cały kraj;
13;poniedziałek;2020-03-16;52;1.0;0.0;10050;cały kraj;
14;wtorek;2020-03-17;61;1.0;0.0;14531;cały kraj;
15;środa;2020-03-18;48;0.0;0.0;21993;cały kraj;
16;czwartek;2020-03-19;68;0.0;0.0;28440;cały kraj;
17;piątek;2020-03-20;70;0.0;0.0;47115;cały kraj;
18;sobota;2020-03-21;111;0.0;0.0;54814;cały kraj;
19;niedziela;2020-03-22;99;2.0;0.0;48632;cały kraj;
20;poniedziałek;2020-03-23;115;1.0;0.0;55301;cały kraj;
21;wtorek;2020-03-24;152;2.0;0.0;62511;cały kraj;
22;środa;2020-03-25;151;3.0;0.0;70528;cały kraj;
23;czwartek;2020-03-26;170;3.0;0.0;83908;cały kraj;
24;piątek;2020-03-27;168;0.0;0.0;94297;cały kraj;
25;sobota;2020-03-28;249;2.0;0.0;97413;cały kraj;
26;niedziela;2020-03-29;224;4.0;0.0;100215;cały kraj;
27;poniedziałek;2020-03-30;193;9.0;0.0;106525;cały kraj;
28;wtorek;2020-03-31;256;2.0;0.0;171994;cały kraj;
29;środa;2020-04-01;243;10.0;0.0;183095;cały kraj;
30;czwartek;2020-04-02;392;14.0;0.0;174997;cały kraj;
31;piątek;2020-04-03;437;14.0;116.0;160587;cały kraj;
32;sobota;2020-04-04;244;8.0;18.0;131888;cały kraj;
33;niedziela;2020-04-05;475;15.0;28.0;143256;cały kraj;
34;poniedziałek;2020-04-06;311;9.0;29.0;148130;cały kraj;
35;wtorek;2020-04-07;435;26.0;31.0;153390;cały kraj;
36;środa;2020-04-08;356;29.0;62.0;152898;cały kraj;
37;czwartek;2020-04-09;370;16.0;34.0;158663;cały kraj;
38;piątek;2020-04-10;380;7.0;57.0;166973;cały kraj;
39;sobota;2020-04-11;401;27.0;64.0;162974;cały kraj;
40;niedziela;2020-04-12;318;23.0;48.0;151548;cały kraj;
41;poniedziałek;2020-04-13;260;13.0;131.0;144875;cały kraj;
42;wtorek;2020-04-14;269;18.0;50.0;145875;cały kraj;
43;środa;2020-04-15;380;22.0;106.0;142220;cały kraj;
44;czwartek;2020-04-16;336;28.0;92.0;138004;cały kraj;
45;piątek;2020-04-17;461;18.0;115.0;118361;cały kraj;
46;sobota;2020-04-18;363;15.0;59.0;124311;cały kraj;
47;niedziela;2020-04-19;545;13.0;93.0;111079;cały kraj;
48;poniedziałek;2020-04-20;306;20.0;164.0;105602;cały kraj;
49;wtorek;2020-04-21;263;20.0;216.0;98020;cały kraj;
50;środa;2020-04-22;313;25.0;227.0;103129;cały kraj;
51;czwartek;2020-04-23;342;28.0;204.0;97905;cały kraj;
52;piątek;2020-04-24;381;40.0;182.0;87003;cały kraj;
53;sobota;2020-04-25;381;30.0;139.0;79656;cały kraj;
54;niedziela;2020-04-26;344;12.0;201.0;78878;cały kraj;
55;poniedziałek;2020-04-27;285;27.0;189.0;82643;cały kraj;
56;wtorek;2020-04-28;316;34.0;370.0;85837;cały kraj;
57;środa;2020-04-29;422;28.0;211.0;88265;cały kraj;
58;czwartek;2020-04-30;237;20.0;255.0;92458;cały kraj;
59;piątek;2020-05-01;228;7.0;271.0;95625;cały kraj;
60;sobota;2020-05-02;270;12.0;183.0;96612;cały kraj;
61;niedziela;2020-05-03;318;15.0;150.0;96699;cały kraj;
62;poniedziałek;2020-05-04;313;19.0;185.0;100765;cały kraj;
63;wtorek;2020-05-05;425;19.0;375.0;101395;cały kraj;
64;środa;2020-05-06;309;18.0;207.0;103913;cały kraj;
65;czwartek;2020-05-07;307;22.0;322.0;104024;cały kraj;
66;piątek;2020-05-08;319;20.0;253.0;102996;cały kraj;
67;sobota;2020-05-09;285;9.0;261.0;100784;cały kraj;
68;niedziela;2020-05-10;345;15.0;118.0;97002;cały kraj;
69;poniedziałek;2020-05-11;330;11.0;315.0;96211;cały kraj;
70;wtorek;2020-05-12;595;28.0;279.0;96062;cały kraj;
71;środa;2020-05-13;283;23.0;286.0;96708;cały kraj;
72;czwartek;2020-05-14;411;22.0;222.0;95068;cały kraj;
73;piątek;2020-05-15;401;24.0;257.0;90386;cały kraj;
74;sobota;2020-05-16;241;8.0;276.0;84542;cały kraj;
75;niedziela;2020-05-17;272;10.0;177.0;80947;cały kraj;
76;poniedziałek;2020-05-18;356;11.0;275.0;76645;cały kraj;
77;wtorek;2020-05-19;383;12.0;280.0;76957;cały kraj;
78;środa;2020-05-20;471;14.0;269.0;77461;cały kraj;
79;czwartek;2020-05-21;404;10.0;279.0;77768;cały kraj;
80;piątek;2020-05-22;476;10.0;246.0;80635;cały kraj;
81;sobota;2020-05-23;312;11.0;217.0;79326;cały kraj;
82;niedziela;2020-05-24;395;3.0;82.0;78259;cały kraj;
83;poniedziałek;2020-05-25;305;11.0;744.0;78864;cały kraj;
84;wtorek;2020-05-26;443;17.0;310.0;79007;cały kraj;
85;środa;2020-05-27;399;4.0;230.0;79818;cały kraj;
86;czwartek;2020-05-28;352;10.0;132.0;79995;cały kraj;
87;piątek;2020-05-29;330;13.0;324.0;80182;cały kraj;
88;sobota;2020-05-30;416;10.0;255.0;78823;cały kraj;
89;niedziela;2020-05-31;215;3.0;178.0;77406;cały kraj;
90;poniedziałek;2020-06-01;379;10.0;277.0;78470;cały kraj;
91;wtorek;2020-06-02;230;18.0;288.0;78691;cały kraj;
92;środa;2020-06-03;292;23.0;213.0;79341;cały kraj;
93;czwartek;2020-06-04;361;2.0;183.0;81244;cały kraj;
94;piątek;2020-06-05;362;20.0;231.0;81820;cały kraj;
95;sobota;2020-06-06;576;14.0;214.0;82759;cały kraj;
96;niedziela;2020-06-07;575;4.0;143.0;82921;cały kraj;
97;poniedziałek;2020-06-08;599;9.0;198.0;84913;cały kraj;
98;wtorek;2020-06-09;400;19.0;215.0;86002;cały kraj;
99;środa;2020-06-10;282;23.0;285.0;88074;cały kraj;
100;czwartek;2020-06-11;359;9.0;109.0;89609;cały kraj;
101;piątek;2020-06-12;376;7.0;299.0;92654;cały kraj;
102;sobota;2020-06-13;440;15.0;122.0;93094;cały kraj;
103;niedziela;2020-06-14;375;10.0;157.0;94518;cały kraj;
104;poniedziałek;2020-06-15;396;9.0;271.0;95641;cały kraj;
105;wtorek;2020-06-16;407;16.0;267.0;96255;cały kraj;
106;środa;2020-06-17;506;14.0;396.0;93722;cały kraj;
107;czwartek;2020-06-18;314;30.0;381.0;97215;cały kraj;
108;piątek;2020-06-19;301;18.0;483.0;96181;cały kraj;
109;sobota;2020-06-20;304;12.0;502.0;94585;cały kraj;
110;niedziela;2020-06-21;311;10.0;393.0;93830;cały kraj;
111;poniedziałek;2020-06-22;296;3.0;497.0;93890;cały kraj;
112;wtorek;2020-06-23;300;16.0;561.0;92992;cały kraj;
113;środa;2020-06-24;294;21.0;520.0;92409;cały kraj;
114;czwartek;2020-06-25;298;16.0;564.0;91461;cały kraj;
115;piątek;2020-06-26;276;17.0;754.0;89294;cały kraj;
116;sobota;2020-06-27;319;6.0;576.0;85603;cały kraj;
117;niedziela;2020-06-28;193;4.0;349.0;83460;cały kraj;
118;poniedziałek;2020-06-29;247;6.0;384.0;83499;cały kraj;
119;wtorek;2020-06-30;239;19.0;510.0;83033;cały kraj;
120;środa;2020-07-01;382;14.0;418.0;83521;cały kraj;
121;czwartek;2020-07-02;371;15.0;442.0;84790;cały kraj;
122;piątek;2020-07-03;259;14.0;476.0;84560;cały kraj;
123;sobota;2020-07-04;314;5.0;619.0;83813;cały kraj;
124;niedziela;2020-07-05;231;5.0;220.0;83767;cały kraj;
125;poniedziałek;2020-07-06;205;4.0;272.0;85327;cały kraj;
126;wtorek;2020-07-07;257;7.0;640.0;84363;cały kraj;
127;środa;2020-07-08;277;15.0;599.0;85955;cały kraj;
128;czwartek;2020-07-09;262;9.0;571.0;86712;cały kraj;
129;piątek;2020-07-10;265;11.0;587.0;86915;cały kraj;
130;sobota;2020-07-11;305;6.0;513.0;86168;cały kraj;
131;niedziela;2020-07-12;370;3.0;367.0;85610;cały kraj;
132;poniedziałek;2020-07-13;299;5.0;241.0;86747;cały kraj;
133;wtorek;2020-07-14;267;12.0;736.0;87698;cały kraj;
134;środa;2020-07-15;264;6.0;436.0;90496;cały kraj;
135;czwartek;2020-07-16;333;10.0;577.0;86073;cały kraj;
136;piątek;2020-07-17;353;7.0;419.0;92008;cały kraj;
137;sobota;2020-07-18;339;6.0;368.0;89956;cały kraj;
138;niedziela;2020-07-19;358;6.0;247.0;89822;cały kraj;
139;poniedziałek;2020-07-20;279;4.0;232.0;90767;cały kraj;
140;wtorek;2020-07-21;399;9.0;368.0;90961;cały kraj;
141;środa;2020-07-22;380;6.0;402.0;92577;cały kraj;
142;czwartek;2020-07-23;418;9.0;456.0;93815;cały kraj;
143;piątek;2020-07-24;458;4.0;422.0;94164;cały kraj;
144;sobota;2020-07-25;584;9.0;334.0;93311;cały kraj;
145;niedziela;2020-07-26;443;7.0;103.0;92803;cały kraj;
146;poniedziałek;2020-07-27;337;5.0;187.0;94920;cały kraj;
147;wtorek;2020-07-28;502;6.0;147.0;95453;cały kraj;
148;środa;2020-07-29;512;12.0;453.0;97561;cały kraj;
149;czwartek;2020-07-30;615;15.0;344.0;97189;cały kraj;
150;piątek;2020-07-31;657;7.0;387.0;98282;cały kraj;
151;sobota;2020-08-01;658;5.0;335.0;96425;cały kraj;
152;niedziela;2020-08-02;548;10.0;172.0;95794;cały kraj;
153;poniedziałek;2020-08-03;575;1.0;175.0;98875;cały kraj;
154;wtorek;2020-08-04;680;6.0;265.0;100151;cały kraj;
155;środa;2020-08-05;640;18.0;321.0;102815;cały kraj;
156;czwartek;2020-08-06;726;18.0;399.0;104923;cały kraj;
157;piątek;2020-08-07;809;13.0;362.0;107229;cały kraj;
158;sobota;2020-08-08;843;13.0;288.0;105795;cały kraj;
159;niedziela;2020-08-09;624;7.0;186.0;104167;cały kraj;
160;poniedziałek;2020-08-10;619;2.0;273.0;105427;cały kraj;
161;wtorek;2020-08-11;551;12.0;461.0;106915;cały kraj;
162;środa;2020-08-12;715;9.0;350.0;108677;cały kraj;
163;czwartek;2020-08-13;811;13.0;401.0;108309;cały kraj;
164;piątek;2020-08-14;832;15.0;491.0;107395;cały kraj;
165;sobota;2020-08-15;771;11.0;277.0;103805;cały kraj;
166;niedziela;2020-08-16;594;8.0;229.0;102970;cały kraj;
167;poniedziałek;2020-08-17;595;8.0;284.0;103236;cały kraj;
168;wtorek;2020-08-18;597;11.0;456.0;103621;cały kraj;
169;środa;2020-08-19;735;17.0;382.0;103961;cały kraj;
170;czwartek;2020-08-20;767;12.0;548.0;103351;cały kraj;
171;piątek;2020-08-21;903;13.0;632.0;103876;cały kraj;
172;sobota;2020-08-22;900;13.0;522.0;100066;cały kraj;
173;niedziela;2020-08-23;581;4.0;265.0;98233;cały kraj;
174;poniedziałek;2020-08-24;548;5.0;336.0;100023;cały kraj;
175;wtorek;2020-08-25;763;17.0;615.0;99705;cały kraj;
176;środa;2020-08-26;729;17.0;698.0;101678;cały kraj;
177;czwartek;2020-08-27;887;15.0;688.0;101547;cały kraj;
178;piątek;2020-08-28;791;9.0;751.0;100845;cały kraj;
179;sobota;2020-08-29;759;14.0;656.0;98576;cały kraj;
180;niedziela;2020-08-30;631;1.0;446.0;96351;cały kraj;
181;poniedziałek;2020-08-31;502;6.0;392.0;96888;cały kraj;
182;wtorek;2020-09-01;550;19.0;835.0;96664;cały kraj;
183;środa;2020-09-02;595;20.0;728.0;98341;cały kraj;
184;czwartek;2020-09-03;612;14.0;1227.0;71311;cały kraj;
185;piątek;2020-09-04;691;8.0;2526.0;71452;cały kraj;
186;sobota;2020-09-05;567;13.0;1910.0;70788;cały kraj;
187;niedziela;2020-09-06;437;7.0;857.0;72285;cały kraj;
188;poniedziałek;2020-09-07;302;3.0;797.0;76047;cały kraj;
189;wtorek;2020-09-08;400;12.0;1225.0;79124;cały kraj;
190;środa;2020-09-09;421;11.0;934.0;83170;cały kraj;
191;czwartek;2020-09-10;506;12.0;779.0;86892;cały kraj;
192;piątek;2020-09-11;594;10.0;877.0;90216;cały kraj;
193;sobota;2020-09-12;603;13.0;934.0;91819;cały kraj;
194;niedziela;2020-09-13;502;6.0;438.0;92057;cały kraj;
195;poniedziałek;2020-09-14;377;15.0;451.0;95241;cały kraj;
196;wtorek;2020-09-15;605;24.0;562.0;94273;cały kraj;
197;środa;2020-09-16;600;10.0;615.0;103425;cały kraj;
198;czwartek;2020-09-17;837;16.0;587.0;111530;cały kraj;
199;piątek;2020-09-18;757;17.0;549.0;118864;cały kraj;
200;sobota;2020-09-19;1002;12.0;441.0;118212;cały kraj;
201;niedziela;2020-09-20;910;11.0;302.0;116871;cały kraj;
202;poniedziałek;2020-09-21;748;5.0;368.0;115789;cały kraj;
203;wtorek;2020-09-22;711;18.0;589.0;114000;cały kraj;
204;środa;2020-09-23;974;28.0;597.0;125220;cały kraj;
205;czwartek;2020-09-24;1136;25.0;582.0;137023;cały kraj;
206;piątek;2020-09-25;1587;23.0;586.0;143442;cały kraj;
207;sobota;2020-09-26;1584;32.0;578.0;139460;cały kraj;
208;niedziela;2020-09-27;1350;8.0;516.0;136128;cały kraj;
209;poniedziałek;2020-09-28;1306;15.0;535.0;134588;cały kraj;
210;wtorek;2020-09-29;1326;36.0;740.0;129961;cały kraj;
211;środa;2020-09-30;1552;30.0;706.0;133981;cały kraj;
212;czwartek;2020-10-01;1967;30.0;952.0;139056;cały kraj;
213;piątek;2020-10-02;2292;27.0;856.0;158038;cały kraj;
214;sobota;2020-10-03;2367;34.0;794.0;150565;cały kraj;
215;niedziela;2020-10-04;1934;26.0;549.0;154365;cały kraj;
216;poniedziałek;2020-10-05;2006;29.0;606.0;159530;cały kraj;
217;wtorek;2020-10-06;2236;58.0;1188.0;145873;cały kraj;
218;środa;2020-10-07;3003;75.0;1144.0;171251;cały kraj;
219;czwartek;2020-10-08;4280;76.0;1385.0;188629;cały kraj;
220;piątek;2020-10-09;4739;52.0;1107.0;206048;cały kraj;
221;sobota;2020-10-10;5300;53.0;1320.0;231032;cały kraj;
222;niedziela;2020-10-11;4178;32.0;899.0;250132;cały kraj;
223;poniedziałek;2020-10-12;4394;35.0;803.0;212446;cały kraj;
224;wtorek;2020-10-13;5068;63.0;1843.0;249349;cały kraj;
225;środa;2020-10-14;6526;116.0;1741.0;296020;cały kraj;
226;czwartek;2020-10-15;8099;91.0;2185.0;311625;cały kraj;
227;piątek;2020-10-16;7705;132.0;4574.0;327507;cały kraj;
228;sobota;2020-10-17;9622;84.0;2489.0;320482;cały kraj;
229;niedziela;2020-10-18;8536;49.0;1363.0;304567;cały kraj;
230;poniedziałek;2020-10-19;7482;41.0;1942.0;289447;cały kraj;
231;wtorek;2020-10-20;9291;107.0;2928.0;335060;cały kraj;
232;środa;2020-10-21;10040;130.0;3320.0;378348;cały kraj;
233;czwartek;2020-10-22;12107;168.0;2888.0;398851;cały kraj;
234;piątek;2020-10-23;13632;153.0;4252.0;478761;cały kraj;
235;sobota;2020-10-24;13628;179.0;3275.0;446154;cały kraj;
236;niedziela;2020-10-25;11742;87.0;2683.0;445991;cały kraj;
237;poniedziałek;2020-10-26;10241;45.0;3935.0;442109;cały kraj;
238;wtorek;2020-10-27;16300;132.0;4267.0;479288;cały kraj;
239;środa;2020-10-28;18820;236.0;5763.0;489079;cały kraj;
240;czwartek;2020-10-29;20156;301.0;5457.0;496213;cały kraj;
241;piątek;2020-10-30;21629;202.0;5556.0;504706;cały kraj;
242;sobota;2020-10-31;21897;280.0;6315.0;439159;cały kraj;
243;niedziela;2020-11-01;17171;152.0;7818.0;435343;cały kraj;
244;poniedziałek;2020-11-02;15578;92.0;5573.0;421582;cały kraj;
245;wtorek;2020-11-03;19364;227.0;8974.0;408121;cały kraj;
246;środa;2020-11-04;24692;373.0;8721.0;430732;cały kraj;
247;czwartek;2020-11-05;27143;367.0;10994.0;433524;cały kraj;
248;piątek;2020-11-06;27086;445.0;11835.0;441832;cały kraj;
249;sobota;2020-11-07;27875;349.0;8853.0;407579;cały kraj;
250;niedziela;2020-11-08;24785;236.0;10008.0;376567;cały kraj;
251;poniedziałek;2020-11-09;21713;173.0;11290.0;407486;cały kraj;
252;wtorek;2020-11-10;25484;330.0;12214.0;431104;cały kraj;
253;środa;2020-11-11;25221;430.0;11474.0;404352;cały kraj;
254;czwartek;2020-11-12;22683;275.0;13231.0;430310;cały kraj;
255;piątek;2020-11-13;24051;419.0;14635.0;440025;cały kraj;
256;sobota;2020-11-14;25571;548.0;12568.0;409322;cały kraj;
257;niedziela;2020-11-15;21854;303.0;11239.0;422767;cały kraj;
258;poniedziałek;2020-11-16;20816;143.0;18260.0;415174;cały kraj;
259;wtorek;2020-11-17;19152;357.0;18601.0;415601;cały kraj;
260;środa;2020-11-18;19883;603.0;19003.0;434034;cały kraj;
261;czwartek;2020-11-19;23975;637.0;19914.0;408567;cały kraj;
262;piątek;2020-11-20;22464;626.0;25275.0;391837;cały kraj;
263;sobota;2020-11-21;24213;574.0;16896.0;356130;cały kraj;
264;niedziela;2020-11-22;17856;330.0;14897.0;362959;cały kraj;
265;poniedziałek;2020-11-23;15002;156.0;15849.0;334331;cały kraj;
266;wtorek;2020-11-24;10141;540.0;;348135;cały kraj;47540.0
267;wtorek;2020-11-24;1033;51.0;;27474;dolnośląskie;4161.0
268;wtorek;2020-11-24;529;17.0;;20381;kujawsko-pomorskie;2691.0
269;wtorek;2020-11-24;671;8.0;;19016;lubelskie;2280.0
270;wtorek;2020-11-24;267;14.0;;10727;lubuskie;1084.0
271;wtorek;2020-11-24;561;39.0;;20721;łódzkie;3067.0
272;wtorek;2020-11-24;489;64.0;;22873;małopolskie;3614.0
273;wtorek;2020-11-24;1181;51.0;;46914;mazowieckie;5979.0
274;wtorek;2020-11-24;514;24.0;;11191;opolskie;1390.0
275;wtorek;2020-11-24;540;13.0;;15080;podkarpackie;2377.0
276;wtorek;2020-11-24;309;19.0;;10479;podlaskie;1236.0
277;wtorek;2020-11-24;989;35.0;;24695;pomorskie;3711.0
278;wtorek;2020-11-24;944;77.0;;37631;śląskie;4738.0
279;wtorek;2020-11-24;359;17.0;;8674;świętokrzyskie;1381.0
280;wtorek;2020-11-24;476;31.0;;16286;warmińsko-mazurskie;1866.0
281;wtorek;2020-11-24;649;41.0;;39282;wielkopolskie;2782.0
282;wtorek;2020-11-24;460;39.0;;16711;zachodniopomorskie;1841.0
283;środa;2020-11-25;15360;674.0;;341659;cały kraj;54288.0
284;środa;2020-11-25;820;37.0;;27332;dolnośląskie;3671.0
285;środa;2020-11-25;1327;35.0;;20641;kujawsko-pomorskie;4925.0
286;środa;2020-11-25;939;52.0;;18522;lubelskie;2803.0
287;środa;2020-11-25;506;8.0;;10579;lubuskie;1608.0
288;środa;2020-11-25;1007;60.0;;20498;łódzkie;3813.0
289;środa;2020-11-25;951;86.0;;21682;małopolskie;4999.0
290;środa;2020-11-25;1586;94.0;;46905;mazowieckie;6598.0
291;środa;2020-11-25;466;39.0;;10814;opolskie;1380.0
292;środa;2020-11-25;589;36.0;;14455;podkarpackie;2201.0
293;środa;2020-11-25;449;13.0;;9938;podlaskie;1236.0
294;środa;2020-11-25;1138;25.0;;24216;pomorskie;3486.0
295;środa;2020-11-25;1938;53.0;;36339;śląskie;6163.0
296;środa;2020-11-25;301;19.0;;8485;świętokrzyskie;1289.0
297;środa;2020-11-25;860;34.0;;16321;warmińsko-mazurskie;2348.0
298;środa;2020-11-25;1418;66.0;;38161;wielkopolskie;4346.0
299;środa;2020-11-25;1014;17.0;;16771;zachodniopomorskie;3049.0
300;czwartek;2020-11-26;16846;580.0;;345501;cały kraj;57120.0
301;czwartek;2020-11-26;1117;51.0;;27224;dolnośląskie;4439.0
302;czwartek;2020-11-26;1213;24.0;;21659;kujawsko-pomorskie;4275.0
303;czwartek;2020-11-26;1027;30.0;;18998;lubelskie;3098.0
304;czwartek;2020-11-26;510;7.0;;10585;lubuskie;1576.0
305;czwartek;2020-11-26;1106;37.0;;21008;łódzkie;4195.0
306;czwartek;2020-11-26;917;40.0;;21527;małopolskie;4567.0
307;czwartek;2020-11-26;1788;74.0;;47183;mazowieckie;7510.0
308;czwartek;2020-11-26;587;23.0;;10787;opolskie;1530.0
309;czwartek;2020-11-26;752;69.0;;13468;podkarpackie;2435.0
310;czwartek;2020-11-26;467;24.0;;10151;podlaskie;1223.0
311;czwartek;2020-11-26;1112;32.0;;24479;pomorskie;3486.0
312;czwartek;2020-11-26;1860;69.0;;36562;śląskie;6239.0
313;czwartek;2020-11-26;471;10.0;;8312;świętokrzyskie;1608.0
314;czwartek;2020-11-26;1212;22.0;;17505;warmińsko-mazurskie;2871.0
315;czwartek;2020-11-26;1671;45.0;;38563;wielkopolskie;4648.0
316;czwartek;2020-11-26;994;23.0;;17489;zachodniopomorskie;2966.0
317;piątek;2020-11-27;17059;579.0;;345333;cały kraj;63763.0
318;piątek;2020-11-27;1319;65.0;;26958;dolnośląskie;4971.0
319;piątek;2020-11-27;1366;30.0;;22038;kujawsko-pomorskie;4511.0
320;piątek;2020-11-27;801;37.0;;19142;lubelskie;2898.0
321;piątek;2020-11-27;494;27.0;;10264;lubuskie;1568.0
322;piątek;2020-11-27;1002;43.0;;20689;łódzkie;4490.0
323;piątek;2020-11-27;870;43.0;;20665;małopolskie;5229.0
324;piątek;2020-11-27;2072;81.0;;47714;mazowieckie;9800.0
325;piątek;2020-11-27;536;19.0;;10728;opolskie;1491.0
326;piątek;2020-11-27;790;33.0;;13105;podkarpackie;2514.0
327;piątek;2020-11-27;490;25.0;;10236;podlaskie;1472.0
328;piątek;2020-11-27;1268;30.0;;24517;pomorskie;4799.0
329;piątek;2020-11-27;1554;50.0;;36206;śląskie;6865.0
330;piątek;2020-11-27;406;19.0;;7912;świętokrzyskie;1506.0
331;piątek;2020-11-27;1059;30.0;;18304;warmińsko-mazurskie;2838.0
332;piątek;2020-11-27;2076;25.0;;38789;wielkopolskie;5620.0
333;piątek;2020-11-27;916;22.0;;18065;zachodniopomorskie;2751.0
334;piątek;2020-11-28;15183;599.0;;332314;cały kraj;60368.0
335;piątek;2020-11-28;1486;30.0;;26122;dolnośląskie;5432.0
336;piątek;2020-11-28;1010;29.0;;21619;kujawsko-pomorskie;3924.0
337;piątek;2020-11-28;940;37.0;;18279;lubelskie;3081.0
338;piątek;2020-11-28;399;20.0;;10141;lubuskie;1638.0
339;piątek;2020-11-28;655;60.0;;19955;łódzkie;3670.0
340;piątek;2020-11-28;660;42.0;;19447;małopolskie;4503.0
341;piątek;2020-11-28;1994;60.0;;46040;mazowieckie;10696.0
342;piątek;2020-11-28;434;18.0;;10316;opolskie;1433.0
343;piątek;2020-11-28;715;51.0;;12348;podkarpackie;2315.0
344;piątek;2020-11-28;481;15.0;;9737;podlaskie;1560.0
345;piątek;2020-11-28;1038;44.0;;23851;pomorskie;4037.0
346;piątek;2020-11-28;1402;54.0;;34011;śląskie;5708.0
347;piątek;2020-11-28;308;16.0;;7292;świętokrzyskie;1296.0
348;piątek;2020-11-28;951;47.0;;18048;warmińsko-mazurskie;2641.0
349;piątek;2020-11-28;1756;60.0;;37499;wielkopolskie;5426.0
350;piątek;2020-11-28;907;16.0;;17608;zachodniopomorskie;2622.0
351;sobota;2020-11-29;11483;283.0;;316146;cały kraj;37742.0
352;sobota;2020-11-29;782;11.0;;24813;dolnośląskie;2465.0
353;sobota;2020-11-29;623;14.0;;20925;kujawsko-pomorskie;2040.0
354;sobota;2020-11-29;622;25.0;;17807;lubelskie;1925.0
355;sobota;2020-11-29;373;6.0;;9753;lubuskie;971.0
356;sobota;2020-11-29;839;37.0;;19093;łódzkie;2768.0
357;sobota;2020-11-29;450;9.0;;17711;małopolskie;2781.0
358;sobota;2020-11-29;1419;57.0;;44502;mazowieckie;5668.0
359;sobota;2020-11-29;434;3.0;;9639;opolskie;1052.0
360;sobota;2020-11-29;339;28.0;;11288;podkarpackie;1106.0
361;sobota;2020-11-29;310;11.0;;9196;podlaskie;881.0
362;sobota;2020-11-29;984;19.0;;22586;pomorskie;3224.0
363;sobota;2020-11-29;970;19.0;;31779;śląskie;3161.0
364;sobota;2020-11-29;271;10.0;;6950;świętokrzyskie;1092.0
365;sobota;2020-11-29;616;7.0;;17569;warmińsko-mazurskie;1494.0
366;sobota;2020-11-29;1591;21.0;;35406;wielkopolskie;4270.0
367;sobota;2020-11-29;784;6.0;;17125;zachodniopomorskie;2483.0
368;poniedziałek;2020-11-30;5734;121.0;;294775;cały kraj;23174.0
369;poniedziałek;2020-11-30;446;5.0;;22727;dolnośląskie;1607.0
370;poniedziałek;2020-11-30;294;4.0;;19828;kujawsko-pomorskie;1395.0
371;poniedziałek;2020-11-30;284;13.0;;16603;lubelskie;967.0
372;poniedziałek;2020-11-30;265;0.0;;9161;lubuskie;838.0
373;poniedziałek;2020-11-30;376;10.0;;17813;łódzkie;1873.0
374;poniedziałek;2020-11-30;284;2.0;;15989;małopolskie;2501.0
375;poniedziałek;2020-11-30;675;15.0;;41565;mazowieckie;3350.0
376;poniedziałek;2020-11-30;197;0.0;;8881;opolskie;574.0
377;poniedziałek;2020-11-30;207;7.0;;10664;podkarpackie;803.0
378;poniedziałek;2020-11-30;122;2.0;;8404;podlaskie;404.0
379;poniedziałek;2020-11-30;446;3.0;;21441;pomorskie;1886.0
380;poniedziałek;2020-11-30;420;18.0;;29436;śląskie;1851.0
381;poniedziałek;2020-11-30;193;2.0;;6270;świętokrzyskie;671.0
382;poniedziałek;2020-11-30;328;9.0;;16497;warmińsko-mazurskie;875.0
383;poniedziałek;2020-11-30;535;30.0;;33309;wielkopolskie;1773.0
384;poniedziałek;2020-11-30;603;1.0;;16183;zachodniopomorskie;1594.0
385;wtorek;2020-12-01;9066;449.0;;284156;cały kraj;44535.0
386;wtorek;2020-12-01;718;57.0;;21849;dolnośląskie;3692.0
387;wtorek;2020-12-01;1211;40.0;;19398;kujawsko-pomorskie;4798.0
388;wtorek;2020-12-01;551;36.0;;16005;lubelskie;2332.0
389;wtorek;2020-12-01;189;4.0;;8862;lubuskie;1093.0
390;wtorek;2020-12-01;613;21.0;;17236;łódzkie;3770.0
391;wtorek;2020-12-01;494;67.0;;15217;małopolskie;3931.0
392;wtorek;2020-12-01;732;16.0;;40035;mazowieckie;4964.0
393;wtorek;2020-12-01;359;20.0;;8464;opolskie;1401.0
394;wtorek;2020-12-01;344;20.0;;10094;podkarpackie;2035.0
395;wtorek;2020-12-01;215;5.0;;8177;podlaskie;966.0
396;wtorek;2020-12-01;449;57.0;;20535;pomorskie;2420.0
397;wtorek;2020-12-01;1081;39.0;;28329;śląskie;4770.0
398;wtorek;2020-12-01;266;6.0;;5998;świętokrzyskie;1234.0
399;wtorek;2020-12-01;536;36.0;;16208;warmińsko-mazurskie;2045.0
